csf	white_matter	global_signal	std_dvars	dvars	framewise_displacement	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	t_comp_cor_05	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	cosine00	cosine01	cosine02	cosine03	cosine04	cosine05	cosine06	cosine07	cosine08	non_steady_state_outlier00	trans_x	trans_y	trans_z	rot_x	rot_y	rot_z
3683.9721112098377	3370.209679774781	4249.844187276745	n/a	n/a	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0365649	0.196962	0.105119	-0.0018205	4.2824599999999996e-23	0.000197494
3600.0481003066993	3366.849326663353	4205.615300331915	1.418975	41.20829	0.10760149500000003	0.005106649600000001	-0.0056624789	0.0716343978	-0.0453345502	-0.0218027239	-0.029137006400000002	0.0175903157	-0.0373916402	0.0288977708	-0.0975556693	0.0323804299	-0.040136825699999996	0.0609142317	0.0609134557	0.0609121623	0.0609103516	0.0609080237	0.060905178399999996	0.0609018158	0.060897936	0.060893539	0.0	0.0243059	0.196952	0.08318459999999998	-0.000561942	1.19099e-05	0.0
3565.29311754981	3363.059502953545	4185.9544586140255	1.125127	32.674702	0.09418002249999999	0.0399973392	-0.0852146199	0.0008818144999999999	-0.013198978799999999	0.0037389279	-0.0170686072	0.0233443114	0.049887477199999995	0.0334922201	-0.0277849256	-0.0258678487	0.0061179739	0.0609121623	0.060905178399999996	0.060893539	0.0608772451	0.060856297999999996	0.0608306992	0.0608004507	0.060765554900000004	0.0607260143	0.0	0.0182507	0.223878	0.106648	0.000173436	-7.420549999999999e-06	0.0
3553.2631543198	3360.267722915462	4177.845637712192	1.028227	29.860632	0.1146478575	0.021252683199999997	-0.0693556571	0.0382150973	-0.000362009	0.0496629461	0.026208541800000002	0.0151310876	0.0358450315	-0.0411138773	-0.0293294029	-0.053813609000000005	0.0013864497	0.0609080237	0.060888624800000006	0.060856297999999996	0.0608110501	0.0607528906	0.060681832000000005	0.0605978893	0.0605010804	0.0603914258	0.0	0.033063	0.289794	0.108119	-0.000188225	-4.47307e-05	-0.00025
3548.230326069789	3361.363956569516	4174.037220530393	0.990685	28.770386	0.075283835	0.0087605524	-0.035481813	0.0884331887	0.0024864610999999997	-0.0391840356	0.0281250793	0.0187531061	-0.060597243200000005	0.025770849300000002	-0.0428932602	-0.0659845138	-0.0311066304	0.0609018158	0.0608637973	0.0608004507	0.0607118024	0.0605978893	0.0604587588	0.0602944687	0.0601050875	0.0598906939	0.0	0.0543035	0.309149	0.104478	1.3234899999999996e-23	0.000209331	-0.00042866
3537.9321339962885	3362.499775824553	4171.71353762479	0.954456	27.718267	0.13033795000000004	0.0286724447	-0.080975177	-0.0028348278	0.016274223100000002	-0.0302571877	0.031248569700000003	0.007614465999999999	0.0483924494	0.048612048	0.0086784085	-0.0628990534	0.0249752856	0.060893539	0.0608306992	0.0607260143	0.0605795562	0.0603914258	0.0601617523	0.0598906939	0.059578436900000004	0.0592251963	0.0	0.0555904	0.238663	0.130104	0.000471323	0.000314797	-0.000346668
3532.299137488114	3360.2858571013867	4170.06649385544	0.909434	26.410788	0.06957819999999999	0.0026444852000000003	-0.0592911329	0.0169460571	0.027483958	0.0422667929	0.0404830303	-0.0041462973	0.0380240967	-0.0339224665	-0.0033230415000000003	-0.0797539676	0.0093793775	0.060883193499999995	0.060789335	0.0606330114	0.0604143833	0.0601336753	0.0597911758	0.0593872369	0.058922273600000005	0.0583967637	0.0	0.0576492	0.265265	0.161783	0.000485715	0.000388505	-0.00025
3543.329961459031	3357.849241729112	4170.282344506449	0.9434070000000002	27.397388	0.09523255000000003	-0.0170930542	-0.0209005173	0.07202546309999999	0.0204303197	0.0119123493	0.020672288400000002	-0.0058490365	-0.045653310999999995	-0.0084280635	-0.014626188899999998	-0.0643008752	-0.0249601133	0.060870779699999995	0.0607397104	0.0605214705	0.060216373399999995	0.0598248567	0.0593474825	0.0587849358	0.058138023899999995	0.057407675400000004	0.0	0.0683676	0.330781	0.162976	0.000623406	0.000606917	-0.00025
3539.6962968578246	3360.4687470009035	4168.7313302577095	0.984804	28.599598	0.14034619999999995	0.0169954265	-0.0486619534	0.0256515848	-0.0029465465	-0.0442195558	-0.0115403648	0.0021180179999999997	-0.009513480999999999	0.0697722505	0.019987905900000002	-0.034165682	0.0635394606	0.060856297999999996	0.060681832000000005	0.0603914258	0.059985634100000004	0.059465232400000005	0.058831214800000003	0.0580847929	0.0572273927	0.056260652300000005	0.0	0.0637621	0.230075	0.166344	0.000775169	0.00101979	-0.000181302
3536.375225377479	3361.482271075249	4169.121135310994	0.945487	27.457783	0.08477985	0.0178054221	-0.06341534730000001	-0.0036585932	0.0137732207	0.0257675609	0.0140887654	0.0067745244	0.053665803399999996	-0.0205355306	0.0084175552	-0.055920290899999996	0.0007422657000000001	0.0608397489	0.0606157078	0.060242916900000006	0.059722291	0.0590551077	0.0582430043	0.0572879736	0.0561923594	0.0549588501	0.0	0.0610646	0.223437	0.145356	0.00124715	0.000457576	-0.00012637
3541.731970677749	3359.0388000960997	4171.727176318984	0.980648	28.478889	0.16040564999999998	-0.0185067831	-0.0292898578	0.0619952338	0.033130459300000005	0.0481559996	0.0092004369	-0.0009352821000000001	-0.025618516600000002	-0.0386576972	-0.0154714106	-0.0515531567	-0.0195729875	0.0608211329	0.0605413467	0.0600759892	0.059426487	0.0585948309	0.05758357	0.056395804199999996	0.055035174000000006	0.053505850199999996	0.0	0.0660566	0.300992	0.174709	0.00055481	0.000226814	-0.000173381
3548.236383055281	3358.774969805745	4172.767199511039	0.932031	27.067013	0.10476514999999996	-0.0029331542	-0.0361622573	0.043225483200000005	-0.0056496141	-0.0647218423	-0.0193497929	-0.0008947122	-0.031277591	0.0679774744	-0.003766024	-0.025546202999999996	0.0357766327	0.0608004507	0.0604587588	0.0598906939	0.0590983831	0.0580847929	0.0568537185	0.0554097694	0.0537583521	0.0519056499	0.0	0.0737425	0.248595	0.173293	0.000483028	0.000769134	-0.000424604
3542.1786075210343	3360.833421056892	4175.180040738362	0.955949	27.761606	0.1096836	-0.0094803999	-0.0551372358	-0.0097447034	0.0198681797	0.0180868151	0.0182159907	-0.0034924534999999997	0.045710620099999995	-0.012163951899999999	-0.0044250451	-0.0314200689	0.0009825849	0.060777702999999995	0.0603679554	0.0596870875	0.058738157400000005	0.0575254269	0.056054342300000004	0.054331510599999994	0.0523646693	0.0501626515	0.0	0.056387	0.227621	0.156039	0.00133912	0.000543224	-0.000424604
3557.8124771191783	3359.2190362123097	4181.001474989684	0.9736880000000002	28.27676	0.13189825	-0.022518485	0.011931236599999999	0.0510779513	0.0059301684	0.0229082117	0.023368689300000002	0.0024590175	-0.0425291509	-0.021759155099999997	-0.0165660368	-0.031574963	-0.005423169	0.0607528906	0.0602689487	0.059465232400000005	0.058346006	0.0569172078	0.0551864189	0.053162822400000004	0.050857155099999996	0.0482816503	0.0	0.0611344	0.31349	0.160893	0.000615549	0.00054821	-0.000424604
3559.226124863726	3360.8851698313624	4184.138873100533	0.939405	27.281162	0.09867955	0.017721368600000002	-0.0067303998	-0.025599130699999997	-0.016749501200000003	-0.0514542169	0.0063065496	0.010420891600000001	-0.0023988426	0.0616002259	0.0146687755	-0.0047456508	0.0430439366	0.0607260143	0.0601617523	0.0592251963	0.0579221417	0.056260652300000005	0.0542510096	0.0519056499	0.0492390866	0.046267820999999994	0.0	0.0461421	0.249487	0.162513	0.000627075	0.000723248	-0.000599325
3551.4787137242224	3359.3176684918562	4185.558324296721	0.956809	27.786583	0.0796709	0.0044304243	-0.005271727800000001	-0.0178172926	-0.001051569	0.0467350505	0.0241164344	-0.0034449453999999997	0.0349913479	-0.0486511946	-0.0121602439	-0.025866816400000003	0.0112173845	0.060697075	0.060046380700000006	0.0589670526	0.0574667952	0.0555563179	0.0532492584	0.0505620855	0.0475139812	0.044126704	0.0	0.0413287	0.251114	0.14384	0.00157926	0.000673763	-0.000509845
