csf	white_matter	global_signal	std_dvars	dvars	framewise_displacement	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	t_comp_cor_05	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	cosine00	cosine01	cosine02	cosine03	cosine04	cosine05	cosine06	cosine07	cosine08	cosine09	trans_x	trans_y	trans_z	rot_x	rot_y	rot_z
3393.234753106916	3224.5346986132813	3634.4958103598938	n/a	n/a	n/a	0.0039525192	-0.0440364654	0.0024298645	-0.01210593	0.038565345699999996	0.008057436500000001	-0.0208656622	-0.031999240400000004	0.0076196375	-0.0363307877	0.044136975	0.050390520599999995	0.0572596436	0.0572590741	0.057258124800000004	0.0572567959	0.0572550874	0.0572529991	0.0572505313	0.0572476838	0.0572444566	0.0572408499	0.0	0.0735096	0.0299256	0.000121821	-0.0	0.0
3378.7148805174024	3219.678139892077	3628.6640721209383	1.170884	29.541639	0.16853533	-0.026673755299999997	0.0473821908	-0.040911561299999996	-0.0003177753	-0.0088129687	0.0271148943	0.051497185099999995	0.0397272746	-0.0306440018	0.0331767546	-0.0097473421	0.030237407400000003	0.057258124800000004	0.0572529991	0.0572444566	0.0572324979	0.057217123499999994	0.0571983345	0.057176132000000005	0.0571505173	0.0571214918	0.0570890575	0.00532718	0.131271	0.0588768	-0.00140809	-0.0	0.0
3358.829275770589	3220.751073132891	3623.902052120985	1.147859	28.960714	0.18835192	0.06610421179999999	-0.011228151899999999	0.0108214455	0.0528616282	-0.0314325543	-0.0095334547	-0.0491977147	0.0001263968	0.026098479700000003	-0.0010739799	-0.0181117982	-0.0341165747	0.0572550874	0.0572408499	0.057217123499999994	0.057183912	0.057141221	0.0570890575	0.0570274301	0.0569563492	0.056875826399999996	0.0567858751	0.0172828	0.0515804	0.0156389	-0.000854299	-0.000327492	0.000188073
3366.40635939185	3221.70324810103	3628.664072120957	1.116736	28.175465	0.03641654	-0.0426280093	0.0049859169	-0.0467516484	0.1392287681	-0.0363570841	-0.0831995224	0.046602976100000006	-0.010708281000000002	-0.011637560600000001	-0.09925767619999999	-0.0158962137	0.0244113038	0.0572505313	0.0572226278	0.057176132000000005	0.0571110591	0.0570274301	0.056925272400000004	0.056804619	0.056665509100000004	0.056507987999999995	0.0563321068	0.00782671	0.0364344	0.0244425	-0.000806793	-0.000316896	0.000185958
3370.101292665268	3221.957051098542	3636.250828262375	1.139763	28.756449	0.16834100199999996	0.051207794800000005	-0.0145595583	-0.0368883888	0.0259855046	-0.10614748	-0.0386730534	-0.0575056944	0.0107188845	-0.0009268417999999999	0.0240172048	-0.031898902400000005	0.0032554128000000003	0.0572444566	0.0571983345	0.0571214918	0.0570139699	0.056875826399999996	0.05670713559999999	0.056507987999999995	0.0562784907	0.056018766799999994	0.0557289559	0.000377908	0.11951	0.042509	-0.00162666	5.29517e-23	0.000244197
3368.6457533562602	3223.673393242354	3631.2186089446936	1.104899	27.876816	0.173240037	-0.0565424957	-0.013377721799999999	-0.0115694725	-0.0196364144	-0.0134681051	-0.06294440009999999	0.042750805700000005	-0.0378698786	0.033773372999999995	0.0009193331	0.0322014775	0.0496850914	0.0572368637	0.0571679728	0.057053216100000005	0.0568926857	0.0566865103	0.0564348553	0.056137922699999995	0.055795950700000006	0.0554092137	0.0549780218	0.0142072	0.0279619	0.0195883	-0.000924828	-0.0	4.71901e-05
3342.553141438684	3221.296039972243	3626.0298873835277	1.050537	26.505266	0.057230004	0.0369047849	0.0078093911	-0.00028415330000000004	-0.0533756455	0.0742228461	-0.0502320651	-0.0250001254	0.0303969093	0.0216134737	-0.0091757721	0.0123913608	0.0436580651	0.0572277525	0.0571315458	0.05697132110000001	0.0567472579	0.056459607300000006	0.0561086916	0.055694904100000005	0.0552187083	0.054680638	0.0540812959	0.000299991	0.0558889	0.0274205	-0.000905414	-0.0	0.000179048
3357.869688112376	3221.273021680234	3621.597355404917	1.039152	26.218002	0.150584099	-0.046285137000000004	-0.021827966600000002	0.020789612199999998	-0.0642178797	0.0619616114	-0.0408850727	0.0340461524	-0.0322692575	0.0084922559	0.0490933358	-0.0021304206	0.0723551917	0.057217123499999994	0.0570890575	0.056875826399999996	0.0565777483	0.056195268	0.0557289559	0.0551795078	0.054547743200000005	0.0538346047	0.0530411561	0.00455804	0.158918	0.0109313	-0.000563151	0.000173938	0.000199002
3339.502651532722	3221.636800961789	3619.0241668923295	1.080161	27.252687	0.17423318699999998	0.0197636599	0.0489906903	-0.0083405884	-0.0254185082	0.118363281	0.001307708	0.0060258121	0.0438583984	0.06760744	-0.0081742007	0.0177176681	0.0443427763	0.0572049769	0.057040512300000006	0.0567667547	0.0563842289	0.0558936675	0.0552960107	0.054592403600000006	0.053784194199999996	0.0528729313	0.051860360700000004	0.00900137	0.0270175	0.0118278	-0.00109006	0.000185418	-2.46614e-06
3361.428414955042	3220.4680333941133	3626.0016080557148	1.01232	25.541035	0.063746221	-0.007086373000000001	-0.0322413203	0.0011296022	0.0054624766	0.0374737941	-0.0170782029	0.005705688299999999	-0.0245130236	0.0173672911	-0.042191870599999994	0.0011335064	0.0578783826	0.0571913129	0.0569859153	0.056644132199999996	0.0561667816	0.055555005899999996	0.05481026940000001	0.0539343544	0.05292935730000001	0.0517976833	0.050542040999999996	-6.4753e-05	0.0635844	0.020035	-0.00111145	0.000277828	-8.67861e-05
