csf	white_matter	global_signal	std_dvars	dvars	framewise_displacement	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	t_comp_cor_05	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	cosine00	cosine01	cosine02	cosine03	cosine04	cosine05	cosine06	cosine07	cosine08	cosine09	cosine10	non_steady_state_outlier00	non_steady_state_outlier01	non_steady_state_outlier02	non_steady_state_outlier03	trans_x	trans_y	trans_z	rot_x	rot_y	rot_z
3621.3465302431614	3243.401755582567	4035.483680618358	n/a	n/a	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	-0.0215231	0.000705274	0.040254	-0.00057835	0.000160129	0.000624516
3576.088073395913	3240.8088845453544	4023.0604386361933	1.304447	33.743038	0.093859176	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	-0.0175308	0.0295612	0.0475638	-0.0011756	0.000352668	0.000340282
3564.4671599849707	3237.4873314300708	4017.1381008304097	1.234282	31.928026	0.03760694999999999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	-0.0160728	0.0129415	0.0579562	-0.0011756	0.000184438	0.000354789
3551.7390857582454	3232.330004954552	4015.5950906757066	1.573485	40.702427	0.15650565	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	-0.0154999	-0.0397898	0.0924306	-0.00212122	0.000321597	0.000646551
3544.001055607628	3235.8654081421864	4010.686514802071	1.714108	44.340027	0.16984905349999999	-0.0054149086	-0.008835819	-0.046555275599999994	-0.1097953243	-0.0099288296	-0.0913926922	-0.0109237076	-0.0058034819999999996	0.0033210701000000002	-0.014001493700000001	0.060258911	-0.0485763292	0.0556413239	0.0556408304	0.055640008	0.0556388566	0.0556373762	0.055635566799999994	0.0556334285	0.0556309613	0.055628165099999995	0.055625040099999995	0.0556215861	0.0	0.0	0.0	0.0	-0.0332751	8.92035e-05	0.0289884	-0.00220632	-0.000194539	0.000272734
3553.400348342259	3237.372412324916	4026.5812872284114	1.589064	41.105419	0.09383339849999998	0.020558178700000002	0.0081230158	-0.0434470807	-0.1534908435	0.011182891	-0.0805315073	0.017195595	0.0193631966	0.0044599296	-0.0249883069	-0.013635656599999999	-0.057031142	0.055640008	0.055635566799999994	0.055628165099999995	0.0556178033	0.0556044819	0.0555882017	0.0555689634	0.055546768200000006	0.0555216172	0.0554935117	0.0554624533	0.0	0.0	0.0	0.0	-0.028806	-0.00514795	0.0181692	-0.00120105	9.89519e-05	0.000440132
3545.8902569318284	3237.3407153177836	4020.4244690766827	1.162979	30.08358	0.07319955500000001	-0.0178564662	-0.0120659605	-0.0219662277	-0.1134081316	0.0296102963	-0.0422288525	-0.0196051733	-0.0074051252	-0.0079894178	-0.043834722199999995	0.0094513333	-0.0036988301	0.0556373762	0.055625040099999995	0.0556044819	0.05557570480000001	0.0555387129	0.0554935117	0.0554401079	0.055378509400000005	0.0553087253	0.055230765999999994	0.055144642800000004	0.0	0.0	0.0	0.0	-0.0277408	-0.0138687	0.0435863	-0.00168244	0.000169351	0.000231991
3528.3049812433587	3238.350062525091	4008.033481486376	1.197316	30.971806	0.1803879	0.019425523899999998	0.0112226889	0.0056857514	-0.0413203484	0.026880624300000003	-0.0251623284	0.0205904168	0.011606158899999998	-0.0141583083	-0.0449756798	0.0009496601	0.0238710563	0.0556334285	0.0556092512	0.0555689634	0.055512576900000006	0.0554401079	0.0553515775	0.055247011299999996	0.0551264396	0.0549898974	0.054837424100000004	0.054669064	0.0	0.0	0.0	0.0	-0.0270508	-0.0340838	0.0991307	-0.0031177	0.000592489	0.000452361
3518.357843064565	3241.331885163044	3994.8080593321215	1.0968000000000002	28.371681	0.088532815	-0.035871659300000004	0.0010234839	0.045287024599999996	0.0161139618	0.045090016100000005	0.0194338688	-0.0246224806	-0.0093533762	-0.026245326800000003	-0.0572602704	0.0493172688	0.047470254	0.055628165099999995	0.0555882017	0.0555216172	0.055428443499999994	0.0553087253	0.055162519900000005	0.0549898974	0.0547909403	0.054565744000000006	0.0543144163	0.0540370775	0.0	0.0	0.0	0.0	-0.0267446	-0.000138985	0.0787452	-0.00265414	0.000647113	0.000612103
3507.5704805635273	3239.1499581434155	3992.541571876688	1.121554	29.01202	0.04431163499999997	0.0413009964	0.0135197342	0.0397096996	0.0405721892	0.0513827385	0.0521544986	0.0318802968	0.010919293100000001	-0.0177194955	-0.0478910436	0.029546546200000003	-0.0276731296	0.0556215861	0.055561893499999994	0.0554624533	0.0553233365	0.055144642800000004	0.0549265	0.054669064	0.0543725192	0.0540370775	0.0536629791	0.053250491399999995	0.0	0.0	0.0	0.0	-0.0272201	0.0220963	0.0806278	-0.00267932	0.000667014	0.000262819
3515.9652161970794	3234.2723891735805	3989.385957201236	1.179015	30.498407	0.050054978000000014	-0.0392610758	0.0305700153	-0.0095963509	0.034777503700000004	0.0472578546	0.038015910800000004	-0.038669419	0.0207253305	0.039030747000000005	-0.0397915955	0.022790997400000002	-0.0049400306	0.0556136917	0.0555303292	0.055391484299999995	0.0551972957	0.054947957400000004	0.054643718499999994	0.054284883	0.0538718095	0.053404910599999994	0.0528846529	0.0523115562	0.0	0.0	0.0	0.0	-0.0274242	0.000843822	0.0950561	-0.00281834	0.000611268	0.000174183
3517.0052258012065	3231.91103195939	3987.3129716126123	1.15615	29.906937	0.058624122	0.0476784672	-0.028342090299999997	-0.046552042599999996	0.0452762503	0.0423563987	0.06361443650000001	0.0442844834	-0.0385123858	0.0597515671	-0.014486116299999999	0.0007189967	0.0213708154	0.0556044819	0.0554935117	0.0553087253	0.0550503686	0.0547187853	0.0543144163	0.0538377996	0.0532895691	0.0526704541	0.0519812782	0.051222958	0.0	0.0	0.0	0.0	-0.0339617	-0.0176253	0.103736	-0.0030493	0.000782338	0.000270905
