csf	white_matter	global_signal	std_dvars	dvars	framewise_displacement	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	t_comp_cor_05	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	cosine00	cosine01	cosine02	cosine03	cosine04	cosine05	cosine06	cosine07	cosine08	cosine09	trans_x	trans_y	trans_z	rot_x	rot_y	rot_z
3217.5587630257646	3061.8099491780395	4104.352892742776	n/a	n/a	n/a	0.0362574607	0.1174172581	-0.0155746127	0.024824491299999998	-0.0092085425	0.0224937242	-0.0986023065	-0.15484196	0.0970993039	-0.0502046013	0.0643617065	-0.1216424147	0.0572596436	0.0572590741	0.057258124800000004	0.0572567959	0.0572550874	0.0572529991	0.0572505313	0.0572476838	0.0572444566	0.0572408499	0.0284553	0.180065	0.127406	-0.001143	0.0008026049999999999	-0.000439952
3171.867520266734	3055.2636129560765	4089.029062646055	2.170518	64.552406	0.0892801	0.027186395099999996	0.1212541685	0.0142398978	0.0263793476	-0.0364452727	-0.052019088	-0.0527115059	-0.14039467890000001	0.0419514847	0.038561206800000004	0.0432656325	-0.0185188017	0.057258124800000004	0.0572529991	0.0572444566	0.0572324979	0.057217123499999994	0.0571983345	0.057176132000000005	0.0571505173	0.0571214918	0.0570890575	0.0293961	0.224902	0.155861	-0.0008984439999999998	0.000778954	-0.000472691
3140.359366936779	3050.3726310054244	4070.6271937844595	1.352386	40.220718	0.1796718999999999	0.0457886611	0.10688690070000001	0.0037367574	0.024181115899999998	-0.0456553142	0.0100605916	-0.0233214058	-0.1161917216	0.0303592737	-0.0026043242	-0.0050752382	0.0337459721	0.0572550874	0.0572408499	0.057217123499999994	0.057183912	0.057141221	0.0570890575	0.0570274301	0.0569563492	0.056875826399999996	0.0567858751	-0.0152971	0.189232	0.153987	-0.000734603	-0.000189775	0.000343433
3134.004442065288	3056.638307809897	4057.0683390505324	1.205656	35.856876	0.210020965	0.0385601004	0.09529836289999999	0.0719295273	0.0171933511	-0.026833879300000002	-0.0023164678	-0.0208947628	-0.11738015210000001	-0.0095829545	0.0001461325	-0.049757583200000004	0.051942508	0.0572505313	0.0572226278	0.057176132000000005	0.0571110591	0.0570274301	0.056925272400000004	0.056804619	0.056665509100000004	0.056507987999999995	0.0563321068	0.00374409	0.107068	0.100571	-0.000294826	0.000100811	-3.41995e-05
3122.5826542115833	3058.320476675235	4041.152185728457	1.038535	30.886591	0.1192877	0.046989580499999996	0.10599900849999999	0.0839719297	0.0086900263	0.0362812239	0.0088842321	-0.0120036422	-0.1106414159	0.0186116202	-0.0033697556	-0.0346131041	0.0655642582	0.0572444566	0.0571983345	0.0571214918	0.0570139699	0.056875826399999996	0.05670713559999999	0.056507987999999995	0.0562784907	0.056018766799999994	0.0557289559	0.00956537	0.191084	0.116915	-0.00011525	0.000150687	-6.68759e-05
3115.802229541838	3046.4335671427543	4031.881771091521	0.922752	27.443159	0.05024997500000001	0.0402644057	0.1227633813	0.060473392800000005	0.0042177256	0.0666690432	0.0283383228	-0.0088641121	-0.1127423332	0.033630610299999995	-0.0073098435	-0.0238042813	0.0643944662	0.0572368637	0.0571679728	0.057053216100000005	0.0568926857	0.0566865103	0.0564348553	0.056137922699999995	0.055795950700000006	0.0554092137	0.0549780218	0.0114937	0.184783	0.149351	-0.000287957	0.000168009	-6.85398e-05
3118.8036752341172	3042.660753763057	4031.968566904776	0.883758	26.283453	0.020439334999999975	0.0394015099	0.1146496807	0.0673864592	0.015424745	0.0513907909	0.007643708199999999	-0.0022466328	-0.1080978426	0.028291048500000002	0.0120877206	-0.036341244700000004	0.0507971204	0.0572277525	0.0571315458	0.05697132110000001	0.0567472579	0.056459607300000006	0.0561086916	0.055694904100000005	0.0552187083	0.054680638	0.0540812959	0.0109175	0.176319	0.15457399999999996	-0.000192354	0.000147529	-7.59795e-05
3112.7717886709997	3043.0593973942687	4035.439999920119	0.907067	26.976677	0.031284375	0.0413794283	0.1225765483	0.028172415299999996	0.005177624699999999	0.061007143	0.0370906052	0.0041966704	-0.11457837439999999	0.057322648600000005	-0.0094661173	-0.016223971599999998	0.0278806148	0.057217123499999994	0.0570890575	0.056875826399999996	0.0565777483	0.056195268	0.0557289559	0.0551795078	0.054547743200000005	0.0538346047	0.0530411561	0.0106389	0.177647	0.170428	-0.000357532	0.00019548	-0.000139326
3123.848658419013	3044.287505800737	4054.6292550460503	1.1720370000000002	34.857018	0.203329015	0.027598413399999997	0.0924189777	0.0513878721	0.0251306923	0.0178751101	-0.0450553151	-0.0079362744	-0.09162607869999999	0.0124739853	0.0641527913	-0.023708475	0.006419800799999999	0.0572049769	0.057040512300000006	0.0567667547	0.0563842289	0.0558936675	0.0552960107	0.054592403600000006	0.053784194199999996	0.0528729313	0.051860360700000004	0.0116962	0.0624265	0.101907	-0.000607184	0.000184111	-2.97427e-05
3130.648472502641	3051.138634574815	4071.607903867448	1.024035	30.455353	0.14268702	0.0152415498	0.1104643479	0.0051948628	0.0178396871	-0.0253479369	-0.0181026999	-0.0183559566	-0.1026525149	0.032186965299999995	0.031755315	0.0011382557000000001	0.0014984528	0.0571913129	0.0569859153	0.056644132199999996	0.0561667816	0.055555005899999996	0.05481026940000001	0.0539343544	0.05292935730000001	0.0517976833	0.050542040999999996	0.00656118	0.157118	0.0872803	-0.000144633	0.00011427500000000003	-6.20317e-05
