csf	white_matter	global_signal	std_dvars	dvars	framewise_displacement	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	t_comp_cor_05	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	cosine00	cosine01	cosine02	cosine03	cosine04	cosine05	cosine06	cosine07	cosine08	trans_x	trans_y	trans_z	rot_x	rot_y	rot_z
3446.4224777467234	2933.7972611297932	3865.362614382735	n/a	n/a	n/a	0.11306141609999999	-0.0359501146	0.022840219900000003	-0.0100565345	0.0546918099	-0.0384352192	-0.04405415730000001	0.0185800682	-0.0711279116	0.018864314899999998	-0.1156946382	0.0037795905	0.0608578045	0.060857032	0.0608557447	0.060853942300000005	0.0608516251	0.060848793	0.060845446	0.0608415841	0.0608372074	-0.0803969	0.568989	-1.31209	0.0407081	-0.007378069999999999	-0.00453437
3432.415317213241	2932.0093937455326	3857.936603299205	1.528702	46.157387	0.5271617	0.1395968429	-0.0002540932	-0.0057456984	-0.0230318017	0.05780967309999999	-0.0671501108	-0.0036267928999999996	-0.0197871541	-0.0610867429	-0.017479075400000002	-0.0702115552	-0.0247452642	0.0608557447	0.060848793	0.0608372074	0.0608209889	0.060800138600000005	0.0607746581	0.06074454940000001	0.060709814800000005	0.0606704569	-0.0347702	0.465769	-1.21595	0.0366561	-0.00651841	-0.00380253
3399.11839329252	2935.627248064032	3847.237048107304	1.198231	36.179203	0.36738450000000006	0.0828639147	-0.043142231600000004	-0.0319215353	-0.00155557	0.0583669496	-0.001641406	-0.0365611913	0.0450924933	-0.0457073787	-0.0163877106	-0.0720520308	-0.0285614029	0.0608516251	0.060832315899999996	0.060800138600000005	0.060755099699999995	0.060697209	0.060626478600000006	0.060542923600000007	0.0604465615	0.060337412800000004	-0.0574752	0.613079	-1.27742	0.0385852	-0.0064485	-0.00452151
3377.7750614329548	2935.2218632061217	3845.1603007763283	0.956006	28.865486	0.09180209999999998	0.0509877663	-0.056582779699999995	0.0184565074	0.031079218999999998	0.007968520699999999	-0.0922560118	-0.052312619500000004	0.0609884028	-0.011011950800000002	0.0109176938	-0.0843268884	-0.0025032048	0.060845446	0.060807603200000004	0.06074454940000001	0.0606563107	0.060542923600000007	0.060404435199999995	0.0602409029	0.06005239440000001	0.0598389881	-0.0508136	0.628331	-1.29924	0.0391304	-0.00674971	-0.00440655
3382.2640046248553	2938.304305947856	3848.7581105058825	1.043134	31.496231	0.25514670000000006	0.0550746267	0.006591214200000001	0.0305261021	-0.0176756451	0.0371347209	-0.0013174514000000002	-0.0559129145	-0.0115019978	-0.0647664405	0.012079708400000002	-0.1023963313	-0.0308335296	0.0608372074	0.0607746581	0.0606704569	0.060524675099999994	0.060337412800000004	0.0601087982	0.0598389881	0.059528167300000004	0.0591765488	-0.0929698	0.543245	-1.3532400000000002	0.0386712	-0.00683267	-0.00534248
3381.238256497912	2939.4889657229514	3843.7893880738234	0.942022	28.443277	0.04793029999999977	0.014905801299999999	-0.00043218989999999996	-0.045871887800000004	-0.0119040638	0.058929906100000005	-0.053736180099999996	-0.0187127209	0.0308491904	-0.0775719175	-0.028954108	-0.0883324185	-0.0165331645	0.0608269097	0.0607334851	0.0605778835	0.0603602644	0.0600808505	0.0597399279	0.0593378457	0.0588750154	0.058351910800000004	-0.0976261	0.521807	-1.34876	0.0387029	-0.00657449	-0.00528524
3370.0355845933227	2934.69075212395	3836.231184957241	0.981636	29.639374	0.23698459999999974	-0.0221538722	-0.0180360681	-0.0381436903	-0.007316835600000001	-0.010540086899999999	-0.0271672823	-0.017932035	0.032580026899999996	-0.0265925315	-0.030842235899999997	-0.0500163829	-0.0413924537	0.0608145533	0.0606840897	0.0604668575	0.0601631675	0.059773453899999995	0.0592982738	0.0587383067	0.0580943533	0.057367334299999996	-0.0823435	0.581907	-1.28641	0.037875	-0.00574179	-0.0049608
3372.3536199438317	2930.872545351496	3832.9819329298134	1.051526	31.749603	0.41367860000000006	-0.0300584089	-0.0373506324	0.0071333289	-0.006768700799999999	0.0091712938	-0.049373573	0.021940277200000004	0.024539175099999998	-0.0159358594	0.019670806699999998	-0.0295862206	-0.0211410133	0.060800138600000005	0.060626478600000006	0.060337412800000004	0.0599334912	0.059415482900000004	0.0587843738	0.0580413653	0.0571878717	0.0562255178	-0.0374634	0.49552	-1.20746	0.0358569	-0.00470898	-0.00394248
3368.116710319485	2930.6943277961773	3825.558331718111	1.037252	31.318621	0.2593857999999997	-0.0263339323	0.0346437212	0.037205041099999996	-0.0401833911	0.039763549	0.0364607877	0.020532315500000002	-0.0452313384	-0.0356553782	0.0221455262	0.0042194072	-0.0198950681	0.0607836659	0.06056065980000001	0.0601895887	0.059671359900000005	0.059007240499999995	0.0581988541	0.0572481771	0.056157534	0.0549295911	-0.0665172	0.43808	-1.19951	0.0335615	-0.00398105	-0.00421799
3354.1621323288746	2927.495518730177	3819.100534086629	1.015475	30.6611	0.2783702999999997	-0.0541803351	0.0622721717	-0.026161485800000002	-0.004989239	0.0278004573	-0.0849385485	-0.0053964636	-0.0359602438	0.008418640500000001	-0.0110583408	0.0160767274	-0.044113437	0.060765136	0.060486641900000006	0.0600234302	0.059376915499999995	0.058549072	0.057542428	0.0563600576	0.055005571600000004	0.0534831063	-0.079377	0.586997	-1.19991	0.0345483	-0.00492821	-0.0046079
