csf	white_matter	global_signal	std_dvars	dvars	framewise_displacement	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	t_comp_cor_05	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	cosine00	cosine01	cosine02	cosine03	cosine04	cosine05	cosine06	cosine07	cosine08	cosine09	non_steady_state_outlier00	trans_x	trans_y	trans_z	rot_x	rot_y	rot_z
3025.6286899481893	2830.1716441421972	3688.0653271035785	n/a	n/a	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0287035	0.0243648	0.00383349	-0.000496102	-0.0	0.0
2973.2304486828302	2831.450350366913	3661.925309853603	1.078714	35.329918	0.08044756	0.026302365600000002	-0.0016654807999999998	0.0103440604	-0.0183494305	0.0126283504	-0.0106117178	-0.0068461207	0.0092855288	-0.050922165400000004	0.0201292202	-0.0074792866	0.0132490375	0.057783000999999994	0.0577824049	0.057781411500000004	0.0577800208	0.057778232699999994	0.0577760473	0.0577734645	0.057770484500000004	0.0577671072	0.057763332599999995	0.0	0.0258126	0.0400023	0.0448175	-0.000488287	0.000107104	0.000303784
2964.787280941802	2830.9289821948023	3661.4333943675438	0.9344730000000002	30.605755	0.052508800000000015	0.011519809099999999	-0.017390202900000002	-0.0393980486	0.040861998	0.0036235107	0.0032183689	-0.0035959928000000004	0.0134018937	-0.026782895299999998	0.025488370899999998	0.020684244299999998	-0.0419742015	0.057781411500000004	0.0577760473	0.0577671072	0.057754591900000006	0.0577385021	0.0577188388	0.0576956032	0.0576687968	0.0576384213	0.0576044784	0.0	0.0291156	0.0649738	0.0362807	-0.000583271	6.1348e-05	0.000130574
2968.543947248057	2837.888344490449	3672.537483363457	0.924426	30.276709	0.06360676550000001	-0.0009802157	-0.0435590171	-0.0698988867	-0.017344075100000002	-0.0040259076	0.0342698431	-0.0163780844	0.0147848127	-0.04335461559999999	-0.0189524217	-0.0177155287	-0.0175546884	0.057778232699999994	0.057763332599999995	0.0577385021	0.057703745199999996	0.057659068099999995	0.0576044784	0.0575399855	0.0574656004	0.057381336	0.0572872068	0.0	0.0319752	0.0352849	0.0588493	-0.000677451	2.18069e-06	0.000114128
2969.5853920113404	2836.9173809075837	3673.7626520193403	0.965189	31.611755	0.09747478049999998	-0.010120185600000001	-0.0763399263	-0.0169619046	-0.0008213589	0.042211547099999996	0.010060598	-0.012705151599999999	0.0190948024	-0.0271703632	0.006156901899999999	-0.019016216000000002	-0.0327067578	0.0577734645	0.0577442624	0.0576956032	0.057627503200000006	0.0575399855	0.0574330794	0.0573068211	0.057161252999999995	0.056996424299999994	0.0568123904	0.0	0.0269864	0.0744361	0.014035400000000003	-0.000585971	3.14249e-05	6.44346e-05
2965.9607450094704	2835.2218058456865	3662.5755520230896	0.8660379999999999	28.36438	0.07976118500000001	-0.0065006686	-0.06634023110000001	0.007160775699999999	0.021691944900000003	0.0775357879	-0.0149108082	-0.0113725808	0.030540989900000003	-0.025288553199999998	-0.000513157	0.0036768262	-0.026342208199999998	0.0577671072	0.0577188388	0.0576384213	0.057525899500000005	0.057381336	0.0572048115	0.056996424299999994	0.056756290300000005	0.0564845434	0.056181334900000005	0.0	0.0294246	0.0253825	0.0300191	-0.000451768	9.33232e-05	0.000114047
2958.339112438348	2830.1621647208863	3653.416811420318	0.897668	29.400335	0.09462019	-0.0028525327000000003	-0.0337300143	0.019111841799999998	-0.0306546783	0.0413744512	-0.028809386099999997	0.0122702127	0.031543571	-0.0187671506	0.013028318200000001	0.0003783488	-0.0031355699	0.0577591609	0.0576870644	0.0575669704	0.057398978600000004	0.057183228899999994	0.0569199008	0.0566092133	0.056251425099999995	0.0558468337	0.0553957758	0.0	0.0311303	0.0820632	0.0219161	-0.000677451	0.000315853	0.00022845
2955.187013642981	2830.7209991772265	3646.473485784587	0.972725	31.858578	0.13266085000000002	0.020603651299999998	-0.010796083400000002	-0.0335001567	-0.0731350754	0.0019338317999999998	-0.0202770797	0.0051701727000000005	0.0226493051	-0.0347330919	0.0038203347999999997	-0.0145468927	0.0586494791	0.0577496257	0.0576489429	0.057481268200000005	0.0572467965	0.0569458003	0.0565786292	0.056145710099999996	0.055647546	0.0550847157	0.054457873399999995	0.0	0.0411615	0.0194025	0.0292693	0.000129616	0.000196245	0.00035409
2947.0082522525177	2823.2499738312877	3642.334256954281	0.982715	32.18578	0.17752969999999998	0.010301209	-0.0053372071	0.0348753202	0.0138085248	0.042115266500000005	-0.0087913865	0.024199142599999997	0.0050551219	-0.0229230454	0.015555995100000001	0.0161678674	-0.0169041421	0.0577385021	0.0576044784	0.057381336	0.0570694202	0.0566692134	0.056181334900000005	0.055606539299999994	0.054945716	0.0541998874	0.0533702072	0.0	0.0243235	0.124289	0.0245629	-0.00062155	0.000131618	0.000147907
2950.264973588546	2831.848260361472	3642.538033898296	0.96499	31.605249	0.17319835	0.0264760139	-0.0020298385	-0.005482140799999999	0.010760360900000002	0.010604043200000001	-0.029924836200000002	-0.0005135325	0.0255594216	-0.0244318523	0.0207716029	-0.0072349243999999995	-0.0010716541	0.057725790199999995	0.0575536758	0.057267198600000006	0.05686692769999999	0.056353658499999994	0.055728411	0.0549924275	0.054147170599999996	0.0531943196	0.05213576809999999	0.0	0.0385177	0.0141761	0.0235062	2.9303e-05	0.00038016	0.000205203
