csf	white_matter	global_signal	std_dvars	dvars	framewise_displacement	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	t_comp_cor_05	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	cosine00	cosine01	cosine02	cosine03	cosine04	cosine05	cosine06	cosine07	cosine08	cosine09	cosine10	non_steady_state_outlier00	trans_x	trans_y	trans_z	rot_x	rot_y	rot_z
3454.2873976684746	3153.510050157622	3777.8198046590996	n/a	n/a	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.00821053	0.0788959	0.0	0.0	-0.0	0.000139756
3386.895610765413	3149.4055783219646	3753.897791209443	1.161068	31.150343	0.02812841999999999	-0.0073622006	-0.020616906799999998	0.042394222	0.0121424831	-0.0877948182	0.0202831334	-0.0478903629	-0.047968353899999996	0.0424676283	-0.0110635671	0.018591175	-0.0382806704	0.055512575599999996	0.055512087800000005	0.0555112748	0.0555101366	0.0555086733	0.0555068848	0.0555047711	0.055502332300000005	0.0554995683	0.0554964792	0.055493065099999996	0.0	0.0083983	0.103653	0.0	0.0	-0.0	0.000203427
3363.042337699935	3148.006402155602	3745.5583697347543	1.060626	28.45558	0.07849137	-0.011230506000000001	0.025657754900000003	-0.0185209811	0.0430680689	-0.10678876300000001	0.0046235083	-0.0292171064	0.011751971200000001	0.0083805804	-0.0674455522	0.0126087981	-0.0376163318	0.0555112748	0.0555068848	0.0554995683	0.0554893258	0.0554761578	0.055460065	0.0554410482	0.055419108499999994	0.055394247	0.055366465	0.055335763899999994	0.0	0.00901717	0.0867662	0.0205827	-0.000518517	0.00019576	0.000109644
3373.474376794142	3147.2754857692707	3752.702241263685	1.098853	29.481188	0.063977465	0.0071990269	-0.0035081019	-0.032366269700000005	-0.0351140943	-0.065896813	0.022682152400000002	-0.030576087000000002	0.0028032957	-0.0331725796	0.0088680523	0.0395564527	-0.0597142022	0.0555086733	0.0554964792	0.0554761578	0.055447712	0.0554111459	0.055366465	0.0553136757	0.0552527858	0.0551838042	0.0551067411	0.0550216076	0.0	0.0116824	0.130468	0.0157852	-0.000293756	0.000183885	9.00213e-05
3376.3285706726588	3146.187890850039	3766.514442304497	1.095367	29.387651	0.08873492	0.024361790499999997	-0.0112040979	0.057683634500000004	0.0133387366	-0.0386945721	-0.0370373217	-0.020606047199999998	-0.0068883545	0.0586476633	0.0121184938	-0.0085984299	-0.0047486054	0.0555047711	0.055480872199999996	0.0554410482	0.055385310800000004	0.0553136757	0.0552261636	0.055122799699999996	0.0550036135	0.0548686394	0.0547179159	0.0545514865	0.0	0.0102142	0.08535529999999998	0.0253765	-0.0008493869999999998	0.000271913	9.76167e-05
3377.7056599213856	3142.927117292053	3759.552144536019	1.057778	28.379187	0.150173105	0.0217884906	-0.0266446993	-0.0531958991	0.0251078635	-0.0098819919	-0.0233822048	-0.0281498271	0.0370180471	-0.025414878999999998	-0.0271886036	-0.0132434289	0.0012906841	0.0554995683	0.055460065	0.055394247	0.0553021455	0.0551838042	0.055039279299999994	0.0548686394	0.0546719653	0.0544493505	0.054200900499999996	0.0539267333	0.0	0.013894900000000003	0.154487	0.00168301	-0.000124971	-0.0	0.000174632
3367.7462231515233	3144.524473983527	3750.786181008737	1.0491450000000002	28.14757	0.12453364	-0.0103939179	-0.0635772186	0.0269542662	-0.0196484795	-0.010623293899999999	-0.0411209841	-0.0412072829	-0.0433996817	0.0083210473	0.0274893006	-0.0386176564	0.0056928665	0.055493065099999996	0.055434059699999996	0.055335763899999994	0.055198247400000004	0.0550216076	0.0548059697	0.0545514865	0.054258338499999996	0.0539267333	0.0535569061	0.05314911889999999	0.0	0.0119644	0.07249089999999998	0.0122951	-0.00046226	0.00025	0.000162022
3341.31943178284	3135.7274864590117	3736.7981299817934	1.147953	30.798489	0.19863145	-0.0286282458	-0.0015444554999999999	-0.027557072999999998	0.04849852599999999	-0.0004648318	-0.0014740698999999998	0.0082395826	-0.0064323407	-0.0179249374	-0.055810932	-0.012125141499999999	0.0548215908	0.0554852615	0.0554028587	0.0552656114	0.0550736554	0.0548271808	0.05452643150000001	0.054171705199999996	0.0537633532	0.0533017796	0.0527874413	0.052220847599999995	0.0	0.015666	0.142853	0.0661967	-0.00157653	0.000372452	0.000338623
3347.8785432554637	3140.4166759329673	3733.498820762324	1.116104	29.943996	0.1910012	-0.0335660425	-0.0278964094	-0.0197774299	-0.0481861552	-0.0279459498	-0.008791153000000001	-0.0052222662	-0.046021594699999994	-0.053710376799999994	0.011074960900000002	-0.0227304123	-0.013333385900000001	0.0554761578	0.055366465	0.0551838042	0.0549284163	0.054600637699999996	0.054200900499999996	0.0537297315	0.0531877517	0.0525756752	0.0518943089	0.0511445506	0.0	0.012371	0.0806498	0.0243549	-0.000470199	-0.0	0.000144182
3334.0698979267213	3136.9983326132124	3734.8203904356455	1.05651	28.345152	0.10664165	-0.0272861618	0.0376797611	0.0521059584	0.0084653839	-0.0041022741	0.0038784	0.047109367199999995	-0.025025627	0.0376080824	-0.0138350133	0.0122557998	-0.0007394198	0.0554657542	0.055324881900000004	0.0550903596	0.0547625844	0.05434211110000001	0.0538296514	0.0532260728	0.0525323971	0.051749798300000004	0.0508796012	0.0499232788	0.0	0.0153612	0.15421	0.0293295	-0.000217731	-0.000203777	0.00019027
