csf	white_matter	global_signal	std_dvars	dvars	framewise_displacement	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	t_comp_cor_05	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	cosine00	cosine01	cosine02	cosine03	cosine04	cosine05	cosine06	cosine07	cosine08	trans_x	trans_y	trans_z	rot_x	rot_y	rot_z
2994.154110856026	2695.05462884726	3536.4812883843215	n/a	n/a	n/a	-0.0052546706000000006	-0.0091169931	-0.0178727252	-0.0073008032999999995	-0.013763894799999999	0.0412379501	0.0023287971	-0.0413188131	0.0370025802	-0.0411937103	0.0164543448	-0.0323879398	0.0608578045	0.060857032	0.0608557447	0.060853942300000005	0.0608516251	0.060848793	0.060845446	0.0608415841	0.0608372074	0.0	0.0210197	0.0563604	0.000996646	-0.0	0.0
2963.1697560025073	2689.815325803879	3519.5879661741083	1.134289	42.520149	0.40518399	0.0095152982	-0.0223041216	-0.0640507692	0.0127250348	0.0103237295	-0.0397959024	-0.0388029327	-0.0735608371	0.003051798	0.0044170482	-0.0301996037	-0.0014919584	0.0608557447	0.060848793	0.0608372074	0.0608209889	0.060800138600000005	0.0607746581	0.06074454940000001	0.060709814800000005	0.0606704569	-0.00261009	0.278025	0.186339	0.000801355	-1.3234899999999996e-23	0.000116509
2940.9173273755773	2689.635989656178	3513.4643009146484	1.051464	39.415344	0.4260038766438	0.0052879747	0.0041115689	-0.0566283438	0.0332571333	-0.0516018841	-0.0766338558	-0.0164657806	-0.0176531393	-0.008005126999999999	-0.0188170369	-0.0353535597	-0.0517437062	0.0608516251	0.060832315899999996	0.060800138600000005	0.060755099699999995	0.060697209	0.060626478600000006	0.060542923600000007	0.0604465615	0.060337412800000004	-1.33562e-08	-0.0461296	0.118093	0.00130471	-0.0	0.0
2927.6821712610704	2692.256583069401	3511.6979699149297	1.270853	47.639397	0.2602778264672	-0.0123820599	0.016104108500000002	0.0692707522	-0.0349867357	-0.0068606859	-0.0253340649	0.025227761600000002	0.062177979800000005	0.0273569491	-0.025432580299999997	0.0045699959	-0.0070523116000000005	0.060845446	0.060807603200000004	0.06074454940000001	0.0606563107	0.060542923600000007	0.060404435199999995	0.0602409029	0.06005239440000001	0.0598389881	1.3111e-08	-0.209288	0.0804296	0.00249383	-0.0	0.0
2927.200179782753	2686.444861145612	3502.570237043872	1.169991	43.858463	0.4835611631109999	0.020125843600000002	-0.0276006295	-0.0043760293	-0.0028959337	0.0289578748	0.0022470979000000003	-0.024437379900000004	0.008239952	-0.0083327352	-0.0026511274	-0.0253609581	0.0181673745	0.0608372074	0.0607746581	0.0606704569	0.060524675099999994	0.060337412800000004	0.0601087982	0.0598389881	0.059528167300000004	0.0591765488	-0.0230296	0.0300222	0.16988	0.00133246	-0.000660924	0.000813125
2915.7568224072234	2684.5387238558296	3498.4560802634096	0.8882649999999999	33.297649	0.24468195	-0.0038875262	0.0055747834	0.0292655354	-0.0117091088	0.026975564	0.0572046846	0.0078514985	0.0516623978	0.0097753587	0.0149602822	0.0042101526	0.010202604300000001	0.0608269097	0.0607334851	0.0605778835	0.0603602644	0.0600808505	0.0597399279	0.0593378457	0.0588750154	0.058351910800000004	-0.0199416	-0.08367199999999998	0.0990554	0.00208073	-0.00039204	0.000688776
2908.44356387404	2685.026372498353	3494.1108122182386	0.922437	34.578632	0.2916995	0.0158729701	-0.0008652053	-0.0048793351	0.0079708985	0.0536721328	0.0182389521	-0.0214932214	-0.0003039114	-0.0049825887	0.046241483	-0.0028268753	0.015080583	0.0608145533	0.0606840897	0.0604668575	0.0601631675	0.059773453899999995	0.0592982738	0.0587383067	0.0580943533	0.057367334299999996	-0.0236748	0.0985053	0.160815	0.00173707	-0.000763908	0.0008538359999999999
2907.8232060207683	2688.345221500665	3496.389701366095	0.775488	29.070076	0.1295482	-0.0073771729	0.0257977719	-0.0080825936	-0.0005085483	0.0062095389	-0.004384947	-0.003967455900000001	0.0080322084	0.0097736956	0.036427103100000004	0.0184865695	-0.015158380400000001	0.060800138600000005	0.060626478600000006	0.060337412800000004	0.0599334912	0.059415482900000004	0.0587843738	0.0580413653	0.0571878717	0.0562255178	-0.02174	0.058002	0.0912472	0.00186945	-0.000616152	0.000783126
2900.040784679793	2686.156516751269	3494.429276834715	0.748307	28.051134	0.15904575	0.013616499399999999	0.018092969	-0.019917986999999998	0.0047600856	0.014708699399999999	-0.0606299063	-0.020562238400000002	-0.006949773100000001	-0.0001853763	0.038651059	-0.0042647778	0.0043160886	0.0607836659	0.06056065980000001	0.0601895887	0.059671359900000005	0.059007240499999995	0.0581988541	0.0572481771	0.056157534	0.0549295911	-0.0248174	0.12303	0.162271	0.00191476	-0.000362072	0.000684185
2906.935828553843	2688.265474684285	3497.4810692169463	0.759429	28.468082	0.1303711	0.013672024599999999	0.018644814	-0.0062307436	0.0256746907	-0.0089041888	-0.0190157218	-0.0186090919	-0.0048182908000000005	-0.0064549312	0.0248469873	0.0092742412	0.005128638	0.060765136	0.060486641900000006	0.0600234302	0.059376915499999995	0.058549072	0.057542428	0.0563600576	0.055005571600000004	0.0534831063	-0.0189693	0.10533600000000001	0.0965773	0.00240076	-0.000615739	0.000767224
2907.7466005310584	2688.723736311009	3495.5402772406	0.7809169999999999	29.27356	0.13375955	0.023192065699999997	0.0037358526	-0.0208960031	-0.0091754651	0.047927022	-0.0180251244	-0.0269083687	-0.0040975194	0.0005795268	0.0294762481	-0.01526863	0.0453605262	0.06074454940000001	0.060404435199999995	0.0598389881	0.0590503174	0.0580413653	0.056815895400000004	0.05537847940000001	0.0537344793	0.0518900279	-0.0193489	0.132867	0.169377	0.00200018	-0.0007589549999999999	0.000884413
