csf	white_matter	global_signal	std_dvars	dvars	framewise_displacement	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	t_comp_cor_05	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	cosine00	cosine01	cosine02	cosine03	cosine04	cosine05	cosine06	cosine07	cosine08	cosine09	cosine10	non_steady_state_outlier00	trans_x	trans_y	trans_z	rot_x	rot_y	rot_z
3285.97246906746	2814.190534254638	3678.5525501506213	n/a	n/a	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0842398	0.124976	6.59725e-05	-0.0	0.0
3223.4534819041246	2815.0004479075524	3660.452446943869	1.166177	38.635239	0.17986713499999998	0.0550383834	0.0011999433	-0.045697902400000004	0.025040851800000003	-0.0565953918	0.0471766486	-0.023002577200000002	-0.0101990185	0.022867503100000002	-0.035052982	0.0453705349	-0.0204471856	0.055512575599999996	0.055512087800000005	0.0555112748	0.0555101366	0.0555086733	0.0555068848	0.0555047711	0.055502332300000005	0.0554995683	0.0554964792	0.055493065099999996	0.0	0.00649621	0.126959	0.0257055	0.000165417	-0.000170294	0.000357886
3215.218505426864	2815.775184826357	3650.3263631004174	1.167674	38.684818	0.13243538	0.030899454700000002	-0.022051419500000002	0.037070043	-0.0632996797	-0.02402396	0.0061618017	-0.011159574399999999	-0.014394416200000001	-0.0132268123	0.0151570414	-0.0449588675	-0.0200083359	0.0555112748	0.0555068848	0.0554995683	0.0554893258	0.0554761578	0.055460065	0.0554410482	0.055419108499999994	0.055394247	0.055366465	0.055335763899999994	0.0	0.010926000000000002	0.0151383	0.0326297	5.20522e-05	-0.000227292	0.000343035
3189.3428416954753	2814.2108103882397	3641.9260513457134	1.009081	33.430656	0.05080236	-0.0072346162	-0.0137678467	0.0096402591	0.049721981299999995	-0.055645568799999996	0.026879042599999996	-0.0005677578	-0.0147024007	-0.027319142	-0.0097739335	0.037522213	0.0166139333	0.0555086733	0.0554964792	0.0554761578	0.055447712	0.0554111459	0.055366465	0.0553136757	0.0552527858	0.0551838042	0.0551067411	0.0550216076	0.0	0.0336214	0.020078	0.0353314	-0.000180491	-0.000196327	0.000488838
3192.0196187962083	2813.2983843761363	3635.465078079884	0.90418	29.955328	0.03801338	-0.030753709599999998	-0.047407417199999996	0.0415757439	-0.0484936635	-0.0185119792	-0.007526579	0.0081632035	-0.0135313159	-0.047697745199999995	0.0314316799	-0.0155627888	-0.0207111439	0.0555047711	0.055480872199999996	0.0554410482	0.055385310800000004	0.0553136757	0.0552261636	0.055122799699999996	0.0550036135	0.0548686394	0.0547179159	0.0545514865	0.0	0.0317772	0.0070429	0.0422601	-6.80654e-05	-0.000408009	0.000488838
3184.112894090293	2815.464346982854	3628.6450826496416	1.209484	40.069973	0.19538056	-0.0074039561	0.037756377	-0.048430359400000005	0.0248399691	0.0837020467	0.0701543285	-0.019612998200000002	0.0390012691	0.047306426900000004	0.0351685121	-0.0028403341	0.0762662204	0.0554995683	0.055460065	0.055394247	0.0553021455	0.0551838042	0.055039279299999994	0.0548686394	0.0546719653	0.0544493505	0.054200900499999996	0.0539267333	0.0	0.013299900000000003	0.00385211	0.205561	-2.5149e-05	-0.000242694	0.000488838
3183.357141052243	2813.064501532724	3623.517097883199	1.074664	35.603436	0.237945025	-0.033521853	-0.0288918368	-0.0238335615	-0.0245173272	0.011564526	0.014149556399999999	-0.0063401988	0.007533493299999999	-0.0110251177	0.0473329626	0.002716263	-0.015203723300000001	0.055493065099999996	0.055434059699999996	0.055335763899999994	0.055198247400000004	0.0550216076	0.0548059697	0.0545514865	0.054258338499999996	0.0539267333	0.0535569061	0.05314911889999999	0.0	0.0127537	0.144006	0.1264	7.80357e-05	-0.000234201	0.000738839
3168.2532344776428	2810.5457342013265	3623.999592617062	0.922761	30.5709	0.06655408500000003	-0.022036787000000002	0.0387542752	-0.0080334177	0.034368277	-0.0261793928	-0.0058577676	0.0109394874	0.013128434199999999	-0.020996428199999997	-0.047320830700000004	0.031242423199999998	0.0001771143	0.0554852615	0.0554028587	0.0552656114	0.0550736554	0.0548271808	0.05452643150000001	0.054171705199999996	0.0537633532	0.0533017796	0.0527874413	0.052220847599999995	0.0	0.011808	0.135595	0.0812402	-0.000145581	-0.000251336	0.000738839
3192.621944862076	2814.630384892411	3625.634432967483	0.889603	29.472403	0.139459465	-0.0046546183	-0.0259992113	-0.0192614883	-0.0266070872	0.015208568600000002	0.0034704078000000003	-0.0099316361	0.009038514499999999	0.0045236048999999995	0.0482975187	-0.015759820900000002	-0.028884266699999998	0.0554761578	0.055366465	0.0551838042	0.0549284163	0.054600637699999996	0.054200900499999996	0.0537297315	0.0531877517	0.0525756752	0.0518943089	0.0511445506	0.0	0.00928587	0.0649191	0.128856	-0.000168763	-4.88493e-05	0.000591595
3173.0324618974823	2807.512801844813	3626.814454548409	0.956984	31.704693	0.14679396500000003	-0.0012043638	0.03030222	0.0175599977	0.0290791445	-0.054709905499999996	-0.0128785091	0.0186956946	0.0185916044	-0.0339550215	-0.056392783099999996	0.0206609068	-0.0169228651	0.0554657542	0.055324881900000004	0.0550903596	0.0547625844	0.05434211110000001	0.0538296514	0.0532260728	0.0525323971	0.051749798300000004	0.0508796012	0.0499232788	0.0	0.0135687	0.106958	0.095987	-0.0012599200000000003	-0.000236646	0.000664706
