csf	white_matter	global_signal	std_dvars	dvars	framewise_displacement	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	t_comp_cor_05	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	cosine00	cosine01	cosine02	cosine03	cosine04	cosine05	cosine06	cosine07	cosine08	cosine09	non_steady_state_outlier00	non_steady_state_outlier01	non_steady_state_outlier02	trans_x	trans_y	trans_z	rot_x	rot_y	rot_z
3622.615445498941	2999.2499269937557	4130.714264300708	n/a	n/a	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0496595	0.303729	5.41968e-05	-0.0	0.0
3537.41709489658	2989.8331092005237	4100.985101848747	1.188965	32.761021	0.10001534000000001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.057988	0.214752	0.0	-0.0	0.0
3512.2549750803114	2981.60731673096	4082.250353055554	0.933188	25.713291	0.04202714999999999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0536132	0.203554	0.000529087	-0.0	0.0
3526.1661791359998	2996.954658751864	4075.817892100317	1.619906	44.635265	0.16476475	-0.0965059261	-0.0643810059	-0.2717036296	-0.08474383560000001	0.0083527172	0.1848600391	-0.1169449973	-0.1577700829	0.1133084983	-0.2373009832	0.1214102379	-0.1173414599	0.0574009656	0.057400389	0.057399427999999995	0.0573980826	0.0573963529	0.0573942387	0.0573917403	0.0573888574	0.057385590300000004	0.0573819389	0.0	0.0	0.0	0.0	0.0422077	0.3224	-0.000161178	-0.0	0.0
3442.7382943231664	2968.220246015974	4022.4742585804784	2.785541	76.75344099999998	0.09844095500000002	-0.0494293362	0.0015213718	-0.3588695111	-0.11951689480000001	0.0413236114	-0.030822488399999997	-0.0783770764	-0.0071569679	0.0554501968	-0.2794275712	0.0965652934	-0.1112378723	0.057399427999999995	0.0573942387	0.057385590300000004	0.057373483200000006	0.0573579183	0.0573388963	0.057316418499999994	0.0572904863	0.0572611011	0.057228264800000005	0.0	0.0	0.0	-0.000802655	0.0640626	0.28855	0.000328758	-0.0	-0.000348732
3334.164400164692	2871.818137308913	3915.8647330769018	4.502021	124.049736	4.384173555	0.1304780179	0.026883198100000002	-0.2534271745	-0.1172841712	0.1181208581	-0.08802957289999999	0.1598176524	0.36880239719999997	-0.2896218908	-0.4353071242	-0.32104977170000004	-0.0896818125	0.0573963529	0.0573819389	0.0573579183	0.057324295	0.057281074800000005	0.057228264800000005	0.0571658739	0.0570939125	0.0570123927	0.0569213282	0.0	0.0	0.0	0.269863	0.548385	1.46755	0.0154739	-0.0103105	-0.0238968
3511.7092797205723	2995.3352822152974	4063.315008633689	4.252972	117.187386	1.3658164999999998	0.023528333999999998	-0.0729871569	0.10154134949999999	0.049833170999999996	-0.0808368736	0.1000005632	0.017417826100000002	-0.1407184504	0.10959635570000001	0.1115164034	0.0508579434	0.0469626883	0.0573917403	0.057363490700000005	0.057316418499999994	0.057250539	0.0571658739	0.0570624509	0.056940304000000004	0.056799473200000006	0.056640004800000004	0.056461950999999996	0.0	0.0	0.0	0.153413	0.526023	0.946617	0.0128185	-0.00916157	-0.0135797
3399.14748208866	2961.906531128141	4004.7377127785667	1.852373	51.04071	0.231349	0.009060609	0.0075037672	0.0200567842	0.0031866578999999997	0.005480843199999999	-0.0660926724	0.0154271689	0.0661004541	-0.019842935	-0.0149216592	-0.053926080300000005	0.061752935599999996	0.057385590300000004	0.0573388963	0.0572611011	0.0571522469	0.0570123927	0.056841614500000005	0.056640004800000004	0.0564076729	0.056144745	0.0558513636	0.0	0.0	0.0	0.12396	0.527874	0.864329	0.0119436	-0.009002329999999998	-0.0122587
3446.8309158556817	2972.772193818501	4019.5579380656495	1.121184	30.893379	0.06719450000000005	-0.0024690276999999997	-0.013468998700000002	0.05039851	0.0218723786	-0.048342707199999994	0.0275400389	-0.0081322247	-0.0098521263	0.0354209369	0.0367711996	-0.0171652769	0.0370382307	0.057377903200000004	0.0573081582	0.057191979299999994	0.057029460700000006	0.0568207341	0.056565968499999994	0.0562653704	0.055919183399999996	0.0555276879	0.0550912011	0.0	0.0	0.0	0.116628	0.536948	0.827708	0.0118947	-0.00901458	-0.0124809
3413.3275062065613	2957.8732556439863	4005.413841939881	1.077956	29.702248	0.13297849999999992	-0.0058818788	0.0274492822	0.0041558417	-0.012352226499999999	0.0100687229	-0.095716643	-0.006072627099999999	0.07491392059999999	-0.022923828900000002	-0.0054770511	-0.0061911717	0.053342616399999994	0.0573686791	0.0572712797	0.057109069900000003	0.0568822332	0.0565910263	0.0562357788	0.0558168926	0.0553348418	0.054790172000000005	0.0541834994	0.0	0.0	0.0	0.112172	0.533532	0.8010549999999999	0.011240300000000002	-0.00804201	-0.012138800000000003
3446.503461173628	2967.731399883552	4022.2928592103412	1.119725	30.853151	0.26001700000000005	0.0187505809	0.0027061871	0.0508061868	0.0068295448	0.0093225688	0.0220685492	0.009619631600000001	-0.0140680258	-0.0209655021	0.0410265103	0.0163070931	0.0440275003	0.0573579183	0.057228264800000005	0.0570123927	0.056710627300000004	0.0563234232	0.0558513636	0.0552951599	0.054655649900000006	0.053933797199999994	0.0531306893	0.0	0.0	0.0	0.100783	0.503076	0.896895	0.0121951	-0.00901305	-0.011618
3432.0576142903747	2968.601077542784	4020.3039016802086	1.027074	28.30024	0.2342975	0.0021554669	0.028690086200000003	0.0189428874	-0.0012207507	-0.0695867337	-0.038241217200000004	-0.0111584335	0.0234957275	0.0364299173	0.032841668399999996	0.0275270429	0.06779158610000001	0.057345621	0.057179118099999995	0.0569019712	0.0565147167	0.0560181039	0.0554130938	0.054700857	0.0538827719	0.0529604214	0.0519355903	0.0	0.0	0.0	0.132108	0.509626	0.796614	0.0128806	-0.00859382	-0.0107999
