csf	white_matter	global_signal	std_dvars	dvars	framewise_displacement	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	t_comp_cor_05	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	cosine00	cosine01	cosine02	cosine03	cosine04	cosine05	cosine06	cosine07	cosine08	non_steady_state_outlier00	non_steady_state_outlier01	trans_x	trans_y	trans_z	rot_x	rot_y	rot_z
3488.571896485023	3385.0036247324865	4495.900375466645	n/a	n/a	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.14583e-08	0.0860216	0.240104	-0.00129919	-0.0	0.0
3419.550919860601	3372.889817107708	4425.401512190273	1.951629	67.233055	0.2740122885417	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0191464	0.180138	0.298831	6.45955e-24	0.000372136	-0.000369124
3397.0280937463594	3380.4139243927907	4415.800735743494	2.082062	71.72641	0.235824605	-0.0154397278	0.0215432731	0.0335166796	-0.030917653700000002	0.0035713384000000004	-0.058439384500000004	0.0341245187	-0.04113762	0.010903563799999998	-0.041775119900000005	0.028319433300000002	-0.0475091888	0.0609708162	0.0609700366	0.0609687372	0.060966918099999996	0.060964579299999995	0.060961720700000006	0.0609583425	0.0609544447	0.0609500272	0.0	0.0	0.0233353	0.236836	0.347111	-0.00144196	9.63179e-05	-0.0011845
3375.864486207647	3376.8323043656937	4400.181232700997	1.795153	61.842484	0.6114820049999999	-0.0006678141999999999	0.005128995900000001	-0.016157286899999998	0.0404245601	-0.0243722775	0.0069425642	-0.018317003000000002	0.0088684279	0.030313156299999998	0.0214434948	0.0062400943	0.0441584921	0.0609687372	0.060961720700000006	0.0609500272	0.0609336575	0.0609126129	0.0608868951	0.060856505899999996	0.060821447800000004	0.0607817233	0.0	0.0	0.0187185	0.0613499	0.193208	0.00131236	0.00162942	-0.0024466
3372.0242526707893	3368.141886440464	4393.507425131543	1.3801850000000002	47.546982	0.29339660000000006	0.0229128586	0.024592235299999998	0.0564483793	-0.0171066809	0.0054878827	0.0162143292	0.0284031985	-0.0042476156	-0.059338269400000004	-0.0436431278	-0.008287924300000001	0.0070275793000000005	0.060964579299999995	0.060945090199999996	0.0609126129	0.0608671545	0.0608087246	0.0607373356	0.0606530028	0.0605557441	0.0604455803	0.0	0.0	0.0375845	0.221934	0.280368	0.00103128	0.00140926	-0.00241211
3383.8919838179754	3375.271438747501	4397.399059783878	1.337938	46.091572	0.2277212	-0.003921592	0.06708771320000001	-0.0670776711	0.0261327433	-0.0480766288	-0.0401775897	0.017683588700000002	-0.0085027045	0.0745946047	0.021522277599999997	0.037979343900000004	0.0350777502	0.0609583425	0.0609201471	0.060856505899999996	0.0607674454	0.0606530028	0.0605132259	0.0603481732	0.06015791349999999	0.0599425263	0.0	0.0	0.0515584	0.137685	0.209392	0.000515344	0.00143364	-0.00178198
3376.9312907344784	3376.6107819071285	4393.466654711866	1.252861	43.160679	0.2900931	0.0095045159	0.020243851	0.026036456099999997	0.0448969882	0.0197499735	-0.0061873665	-0.042199883	0.0333585578	0.0011168421	-0.0247533809	-0.0098362748	0.0030677998	0.0609500272	0.0608868951	0.0607817233	0.060634584500000005	0.0604455803	0.060214841100000006	0.0599425263	0.059628823899999996	0.0592739505	0.0	0.0	0.0562683	-0.0240819	0.149726	0.0014217600000000004	0.00155101	-0.00152676
3361.0660455800817	3362.536449481996	4378.415965297228	1.912566	65.887337	0.3173116	0.004967	-0.019314540800000002	-0.0130242819	0.0315191779	-0.024177980699999997	0.022137894300000002	-0.08190787320000001	0.027518832000000003	0.0374166125	0.1046272371	-0.033707589700000005	0.0437032434	0.0609396336	0.0608453385	0.060688288099999994	0.06046864440000001	0.0601866338	0.05984254730000001	0.059436739800000006	0.058969629800000006	0.05844169900000001	0.0	0.0	0.0979031	-0.0383282	0.0591045	0.00346716	0.00204279	-0.00064776
3366.9237108303296	3361.627901149627	4373.8560827876345	1.688815	58.179161	0.5011797499999999	-0.0548273021	0.0060571468000000005	-0.0036883263	-0.0050622296	0.0043912584000000005	-0.026014819100000003	0.0008090736	-0.0332600423	0.0348809495	0.0188578029	-0.0200316562	-0.0012793648	0.060927162	0.0607954831	0.060576229	0.0602697155	0.0598763842	0.0593968016	0.058831658700000004	0.05818176940000001	0.05744807	0.0	0.0	0.0811526	0.23524	0.194994	0.00236583	0.00183482	-0.000837891
3361.3520783209137	3371.2906699586565	4384.779851404282	1.317548	45.389133	0.10777355000000001	0.0319915884	-0.0270313914	0.0667359859	-0.004986387199999999	-2.46954e-05	-0.0144551743	0.0088961443	0.025497047999999998	-0.0600798991	-0.0415480858	0.0032782619	-0.007833303599999999	0.0609126129	0.0607373356	0.0604455803	0.06003790639999999	0.0595150958	0.058878151100000005	0.0581282938	0.0572669619	0.0562958072	0.0	0.0	0.07266	0.172507	0.206969	0.00213521	0.0017184	-0.00098231
3369.517337106945	3364.1468258800987	4382.336650861811	1.010955	34.82711	0.1250251	-0.0012296442	0.036736097200000005	0.010412956999999999	-0.0134952178	-0.038103945800000004	0.005586909300000001	0.0325887077	-0.0080018393	0.0005636626	0.0093235064	-0.0022002727	0.0537459847	0.060895986799999996	0.0606709041	0.0602963821	0.0597733436	0.0591030766	0.058287232300000005	0.057327820099999996	0.056227203200000006	0.0549880924	0.0	0.0	0.0732393	0.246319	0.244967	0.00197977	0.0017184	-0.000885034
