csf	white_matter	global_signal	std_dvars	dvars	framewise_displacement	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	t_comp_cor_05	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	cosine00	cosine01	cosine02	cosine03	cosine04	cosine05	cosine06	cosine07	cosine08	cosine09	cosine10	non_steady_state_outlier00	non_steady_state_outlier01	non_steady_state_outlier02	non_steady_state_outlier03	non_steady_state_outlier04	trans_x	trans_y	trans_z	rot_x	rot_y	rot_z
3213.9133367791314	3066.9898347846874	3878.922318786759	n/a	n/a	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0666761	0.00505338	0.100748	-1.3234899999999996e-23	0.00154882	6.40081e-05
3160.3648138997273	3069.1928124071233	3847.394513750808	1.386027	41.462933	0.082228135	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0709112	-0.0234683	0.088885	0.000652449	0.00151311	0.0
3143.6305924793355	3071.342827523635	3836.371617210529	1.423886	42.595482	0.39216135	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0581533	0.141737	0.22733	-0.000424291	0.00128088	0.000206093
3143.337754335518	3069.4510593368345	3825.284337096696	1.254612	37.531643	0.222658775	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0601129	0.00109964	0.173249	-6.05749e-05	0.00128718	5.64928e-05
3123.924747506157	3069.110961261605	3811.610606287513	1.064066	31.831469	0.04646952	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0601005	-0.013224	0.179609	0.000362316	0.00119872	6.06115e-05
3121.500009520542	3067.5037024041467	3803.463803294349	1.142464	34.17675	0.181114375	-0.0315903073	0.0277221489	-0.0426387014	0.09541607099999999	-0.0166808218	0.0099164051	-0.031166565099999998	-0.0254104167	0.0351087061	-0.0128394109	0.0165374886	-0.0476845466	0.0556844395	0.0556839441	0.055683118499999996	0.055681962599999996	0.0556804764	0.0556786601	0.0556765135	0.0556740367	0.0556712297	0.0556680925	0.0556646251	0.0	0.0	0.0	0.0	0.0	0.0602643	0.0755592	0.225203	-0.000461161	0.0012188600000000004	0.000148462
3115.414476780485	3073.201330004236	3798.1862420430953	1.0014360000000002	29.957895	0.0845192	0.0220402652	-0.0212062389	-0.036170659300000005	0.0878203488	-0.0217879427	0.0533668194	-0.0250504946	0.0294473747	-0.007094692	-0.028262523799999998	0.06876049070000001	0.011758216699999999	0.055683118499999996	0.0556786601	0.0556712297	0.0556608276	0.0556474546	0.055631111100000005	0.0556117983	0.055589516900000004	0.0555642684	0.0555360539	0.055504875	0.0	0.0	0.0	0.0	0.0	0.0602969	0.07499659999999998	0.176267	0.000222017	0.00121882	0.000165004
3106.107247523349	3062.9121595352112	3786.5304915505053	1.295652	38.759361	0.14341006999999997	-0.0389152984	-0.0018233576	0.0569935187	0.053739843499999995	-0.0012312292	0.016730943999999998	0.0471811986	-0.0439473896	-0.0120336998	-0.0363176646	0.0484718113	0.0379051579	0.0556804764	0.0556680925	0.0556474546	0.0556185658	0.0555814304	0.0555360539	0.055482443099999994	0.0554206058	0.0553505513	0.05527229	0.0551858333	0.0	0.0	0.0	0.0	0.0	0.08088489999999998	-0.00312407	0.178507	-2.5502e-05	0.00172258	0.000262953
3104.9069608860946	3064.364907941503	3784.7321806447817	1.217005	36.406651	0.12978277	0.0355365851	0.036989569300000004	-0.0201713905	-0.0012202524000000001	-0.0250827692	-0.0024155264	0.0041672268	0.0390454457	0.0492337066	0.00443902	0.0068679168	0.0412098823	0.0556765135	0.0556522423	0.0556117983	0.055555192999999996	0.055482443099999994	0.0553935695	0.055288598200000004	0.0551675597	0.0550304891	0.0548774262	0.0547084156	0.0	0.0	0.0	0.0	0.0	0.08283609999999998	0.0410718	0.231782	-0.000430178	0.00163389	0.000376801
3102.912259371178	3063.2802708367158	3782.8865009565693	1.149825	34.396938	0.168091215	-0.0027705808	-0.0443415296	-0.0288941672	0.0344224311	0.07340511129999999	-0.0174140466	-0.0337150091	0.0034885558000000002	-0.0398546433	-0.0919656056	-0.026838497599999997	0.0110682934	0.0556712297	0.055631111100000005	0.0555642684	0.055470733499999994	0.0553505513	0.0552037797	0.0550304891	0.0548307628	0.0546046966	0.0543523993	0.054073992	0.0	0.0	0.0	0.0	0.0	0.07601589999999998	0.149003	0.26021	-8.53307e-05	0.00162436	0.000232942
3098.70998431389	3060.3844035706643	3775.8093713605945	1.288818	38.554909	0.274178035	-0.0299382759	0.0489110225	0.030760545099999998	-0.0128861183	-0.0062944174	0.0460811926	0.0337446868	-0.0401045011	0.0383514362	0.007921112099999999	0.0250973371	-0.0642097523	0.0556646251	0.0556047009	0.055504875	0.0553652191	0.0551858333	0.054966846500000006	0.0547084156	0.0544107263	0.054073992	0.0536984545	0.0532843833	0.0	0.0	0.0	0.0	0.0	0.0750457	-0.0194701	0.190767	0.000478621	0.0015854	0.000130019
3095.474138722544	3054.628998691385	3771.803744473687	1.09922	32.883102	0.02369398	0.05835763980000001	-0.0362280616	0.052779067400000004	-0.035092744	-0.0114902349	0.021439016600000003	0.047502290499999995	0.044532758	-0.045478976500000004	0.0280496503	0.024724436699999998	-0.008095693900000001	0.0556567	0.0555730142	0.055433631	0.055238690099999994	0.054988386900000005	0.0546829722	0.0543227522	0.053908088	0.0534393949	0.052917143	0.0523418554	0.0	0.0	0.0	0.0	0.0	0.0746165	-0.00527737	0.194566	0.000455237	0.00161254	0.000184956
3092.8967815088813	3053.639781638593	3772.5044956304505	1.144454	34.236282	0.178309435	-0.0402232657	-0.0171598612	-0.0057219701	-0.0332855251	0.0368572499	0.0357797369	-0.018323983000000002	-0.0326321647	-0.000710782	-0.0170274724	0.0340416473	0.0308641493	0.0556474546	0.0555360539	0.0553505513	0.0550911943	0.0547583289	0.0543523993	0.053873947199999994	0.053323610800000004	0.0527021246	0.052010317699999996	0.0512491134	0.0	0.0	0.0	0.0	0.0	0.0730612	0.0915182	0.232125	-2.53923e-05	0.00149606	0.000435838
3094.721376175869	3054.269203816432	3775.028220592147	0.986119	29.499689	0.14898703499999996	0.0358893894	0.027529465299999997	0.0073505527000000005	-0.0367617894	0.0560899535	-0.0021674953	0.0209968296	0.0289978496	0.0375855805	-0.0324776331	0.0015419504999999998	0.026102764700000003	0.055636888899999994	0.055493823600000006	0.0552556539	0.054922787800000004	0.054495796	0.0539754102	0.0533625221	0.0526581822	0.0518635975	0.0509801298	0.050009293200000006	0.0	0.0	0.0	0.0	0.0	0.077397	0.0104809	0.189668	-0.000289684	0.00160084	0.000381771
