csf	white_matter	global_signal	std_dvars	dvars	framewise_displacement	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	t_comp_cor_05	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	cosine00	cosine01	cosine02	cosine03	cosine04	cosine05	cosine06	cosine07	cosine08	cosine09	non_steady_state_outlier00	non_steady_state_outlier01	trans_x	trans_y	trans_z	rot_x	rot_y	rot_z
3541.9431217787624	3249.3417874480547	4374.10621811736	n/a	n/a	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	-7.27124e-09	0.0674432	0.292521	-0.00139708	-0.0	0.0
3474.577031820525	3243.2097822114038	4335.057525176496	1.2526910000000002	31.303747	0.04084791396150003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	6.69026e-09	0.08422559999999998	0.296433	-0.00180015	-0.0	0.0
3452.49494393305	3242.045048701136	4322.6582865534665	1.140137	28.491093	0.08458450896365997	0.043250440999999994	-0.038795032400000005	0.0170066132	-0.014121401899999999	0.0487388599	-0.0611764069	0.0364851995	-0.040474597	0.0228391468	-0.011427273200000001	0.0819451221	-0.0304950479	0.0573537421	0.0573531678	0.0573522108	0.057350870899999996	0.0573491483	0.057347042800000005	0.0573445546	0.057341683600000005	0.0573384299	0.057334793499999995	0.0	0.0	-2.2734e-09	0.07659109999999998	0.371133	-0.00175515	-0.0	0.0
3432.3565428163533	3240.8636007371697	4318.659617405656	1.070711	26.756203	0.08052110355777999	-0.0111424327	-0.0693271673	0.021732489700000003	-0.0125800879	0.0039708595	-0.0200350846	-0.0160092817	-0.0597867763	0.0118775563	-0.0171992123	0.0088852665	-0.0344056009	0.0573522108	0.057347042800000005	0.0573384299	0.057326372599999995	0.057310871500000006	0.0572919276	0.0572695421	0.0572437163	0.057214451799999996	0.05718175019999999	0.0	0.0	-5.83118e-09	0.0894472	0.308029	-0.00166393	-0.0	0.0
3431.409739535086	3238.251307565915	4315.428557147079	1.017145	25.417643	0.04011180541289799	-0.0334945847	-0.06435214480000001	0.0113691803	-0.027851429100000002	-0.0444658676	0.0713167892	-0.030601799	-0.0669649603	0.0094834719	-0.0042600141	-0.0803431912	0.028233438	0.0573491483	0.057334793499999995	0.057310871500000006	0.0572773863	0.05723434349999999	0.05718175019999999	0.0571196153	0.0570479491	0.056966763499999996	0.056876072199999995	0.0	0.0	-4.18282e-10	0.102415	0.327578	-0.00181583	-0.0	0.0
3445.9020076657953	3239.7278975938502	4319.293845821569	1.069297	26.720879	0.074461304009112	-0.0545476567	-0.0122956135	-0.0203871243	-0.014885909499999999	-0.0421458247	0.0096165611	-0.0584426734	-0.011121169399999999	0.010963286499999999	0.0338806069	-0.0142599835	0.0275997067	0.0573445546	0.0573164211	0.0572695421	0.057203933	0.0571196153	0.057016616500000006	0.0568949702	0.056754716399999995	0.0565959008	0.0564185754	0.0	0.0	3.59083e-09	0.0935397	0.389885	-0.00188141	-0.0	0.0
3445.956192809141	3245.861662246679	4322.141856462644	1.087415	27.173616	0.06105110764981995	-0.044657097199999995	0.0417384784	-0.0043310087	0.0260499386	0.0394178121	-0.0450480954	-0.044323241500000006	0.0418302327	-0.0223885676	-0.0257545028	0.056448507300000006	-0.0083849172	0.0573384299	0.0572919276	0.057214451799999996	0.0571060442	0.056966763499999996	0.0567966851	0.0565959008	0.0563645192	0.0561026654	0.055810480999999995	0.0	0.0	-4.05899e-09	0.0990218	0.337471	-0.00194451	-0.0	0.0
3423.3720713586968	3244.0855316143293	4318.216055811638	1.004192	25.093958	0.03135420075214004	0.006321540400000001	0.06935677629999999	0.0158136459	-0.022045298799999998	0.0375621445	0.0063263573	-0.0086744929	0.0702594191	0.0106834928	-0.0366099402	0.0143167772	0.0062438882	0.057330774400000006	0.0572613157	0.057145613600000006	0.0569837616	0.0567758902	0.0565221675	0.0562227982	0.0558780242	0.0554881239	0.0550534122	0.0	0.0	-3.30685e-09	0.123394	0.330557	-0.00194315	-0.0	0.0
3421.259466508474	3239.069875943033	4315.626286634995	0.930149	23.243681	0.037941003545038016	0.0274164764	0.06714463059999999	0.0031336103000000003	-0.035033526	-0.0189164103	0.0471352411	0.0223356482	0.0553560821	0.0377646734	0.0019010742999999999	-0.0315049247	0.0119326311	0.057321588099999994	0.0572245886	0.0570630443	0.0568371374	0.056547122699999994	0.0561933274	0.055776150499999996	0.0552960625	0.054753605	0.054149389699999995	0.0	0.0	2.38188e-10	0.102102	0.345534	-0.00197659	-0.0	0.0
3440.4804146298834	3244.363519370556	4318.301660758711	1.079996	26.988232	0.061030601735077974	0.0670473823	0.0324676974	-0.0346731029	-0.0064513732	-0.0617045022	-0.0149244467	0.0658351747	0.0401976655	0.0160870159	0.06109587440000001	-0.027186786600000002	-0.0011716597	0.057310871500000006	0.05718175019999999	0.056966763499999996	0.0566662343	0.0562806138	0.055810480999999995	0.055256542	0.0546196284	0.0539006969	0.053100826799999994	0.0	0.0	-1.49689e-09	0.0819294	0.383215	-0.00191305	-0.0	0.0
