csf	white_matter	global_signal	std_dvars	dvars	framewise_displacement	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	t_comp_cor_05	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	cosine00	cosine01	cosine02	cosine03	cosine04	cosine05	cosine06	cosine07	cosine08	cosine09	non_steady_state_outlier00	trans_x	trans_y	trans_z	rot_x	rot_y	rot_z
3699.468597782135	3054.4811400572917	3799.058807344809	n/a	n/a	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	-9.41095e-09	0.137048	0.140692	-0.00201401	-0.0	0.0
3635.367144393921	3056.917130061637	3779.2190837468324	1.205966	33.896767	0.04603181741095001	0.0400236431	0.0501517111	-0.0078617439	0.0633028362	-0.0278503139	-0.0158295596	-0.025931131099999997	0.0435849105	-0.0088647046	0.08176925389999999	-0.0200624313	0.0538659201	0.0573066349	0.057306063	0.057305109900000005	0.0573037755	0.0573020599	0.0572999631	0.0572974851	0.0572946259	0.0572913855	0.057287764000000005	0.0	0.000175658	0.107675	0.144052	-0.00200813	-0.000138776	0.000117807
3619.5545603408814	3052.013207345225	3777.0417755928243	1.139961	32.04155	0.2383070272	-0.041609229	0.019430482199999998	0.0820779445	0.0156747323	-0.0245330436	-0.0145409101	0.0430321558	0.013628089099999999	-0.07984426900000001	-0.0038002984000000003	-0.006559758299999999	0.048631689400000004	0.057305109900000005	0.0572999631	0.0572913855	0.0572793776	0.0572639401	0.0572450739	0.057222780099999995	0.057197060099999995	0.0571679155	0.0571353479	0.0	-1.80692e-05	0.21285	0.221489	-0.00301838	-0.000233938	0.000113193
3598.744591033936	3055.051284795517	3771.9082373009455	1.126192	31.654516	0.2427130841	0.045011899800000005	-0.041720322000000004	0.0179044665	-0.057907636299999996	-0.0327594973	0.0182860842	-0.0390704875	-0.049937643600000005	0.008088848000000001	-0.0493272731	-0.0688264346	0.011040873400000002	0.0573020599	0.057287764000000005	0.0572639401	0.0572305921	0.057187725700000004	0.0571353479	0.0570734675	0.05700209480000001	0.0569212416	0.0568309213	0.0	2.19149e-05	0.102503	0.170694	-0.0014643	-0.000293794	0.000129879
3608.2783019065855	3058.565373780055	3771.31935769034	1.172856	32.966141	0.17009651549999996	-0.0057226757	0.0485916567	-0.0531996963	-0.028023574199999998	-0.0283608347	0.0026391973	0.0011020315	0.0540054996	0.0448768771	0.0009225414	0.0081193122	0.040938629	0.0572974851	0.0572694669	0.057222780099999995	0.0571574399	0.0570734675	0.0569708904	0.056849742	0.056710061799999996	0.0565518953	0.0563752941	0.0	7.61304e-05	0.219768	0.192142	-0.00195272	-0.000159874	0.000134125
3600.4913151893616	3054.738115881449	3766.3551923362816	1.246286	35.030075	0.2231241136	-0.0653678447	-0.036776679799999996	0.0127488487	0.0493858312	0.0027305662	0.033824247	0.0648448725	-0.0431812592	-0.0173936199	0.0441289297	-0.013000411100000001	-0.018217258	0.0572913855	0.0572450739	0.0571679155	0.057059952000000004	0.0569212416	0.05675185889999999	0.0565518953	0.056321458600000006	0.0560606728	0.055769678499999996	0.0	0.000101794	0.0931895	0.141408	-0.00113055	-0.000246453	0.000141095
3594.5262313156127	3057.3123069885887	3759.4184700143824	1.173191	32.975555	0.15349742100000002	0.073233985	-0.024174619300000002	0.04721615480000001	-0.009338032900000001	0.0014520520000000001	0.0310465824	-0.0701276569	-0.0222256893	-0.0373351997	-0.0081571737	-0.0289820497	0.0096136078	0.0572837613	0.0572145874	0.0570993594	0.05693817	0.0567311491	0.0564784632	0.056180315700000004	0.0558369467	0.0554486325	0.055015685700000004	0.0	0.000131215	0.22001	0.161915	-0.00118462	-0.000197779	0.000161161
3598.9047543258666	3050.215289224913	3756.4894678323767	1.207354	33.935787	0.1365791381	-0.021847140600000002	0.050332842	-0.032138595	-0.0490037525	0.0264544591	0.0315322601	0.0266716772	0.054749070999999996	0.0280878674	-0.0331319488	-0.027612937200000003	-0.0411605009	0.0572746128	0.0571780108	0.0570171282	0.0567921458	0.056503316500000005	0.0561509651	0.055735487699999996	0.055257351399999995	0.054717093700000004	0.054115321900000006	0.0	8.71769e-05	0.107322	0.165079	-0.0015137	-0.000274146	0.000152946
3593.410172821045	3050.9468424209304	3758.008432702187	1.184805	33.301983	0.1499403151	-0.0430876841	-0.0558696193	-0.0157664441	0.047399763399999996	0.0124599968	-0.0160661204	0.0415180493	-0.0435674812	0.0037559912	0.0374703415	0.043618864900000005	0.0111306926	0.0572639401	0.0571353479	0.0569212416	0.056621941399999993	0.056237895499999996	0.055769678499999996	0.0552179913	0.0545836595	0.053867632699999994	0.05307098230000001	0.0	0.000274092	0.214581	0.192919	-0.00166274	-0.000183614	0.000206462
3598.5299504318236	3052.4943036370278	3759.860062196587	1.067744	30.011688	0.118677341	0.0627567729	0.0104557728	0.0419167376	0.0432225131	-0.0067939424	0.0028886698	-0.0566023943	0.0160754231	-0.047244293300000004	0.0314342494	-0.0140425919	-0.031200227200000003	0.057251743499999994	0.0570866034	0.0568117225	0.0564276295	0.0559350625	0.0553349685	0.054628501100000004	0.0538170184	0.0529020803	0.051885445700000005	0.0	0.000179951	0.131396	0.168461	-0.00150704	-0.000193358	0.000153102
3585.8521723976137	3052.8761819672955	3757.645018293288	1.101497	30.960413	0.09110656499999999	-0.027610802599999998	0.0333148016	0.052376617699999996	-0.051380744299999996	0.0122257646	-0.0036708991999999997	0.030469179	0.025179505	-0.0382243451	-0.0598518572	-0.0106779823	0.0031368642999999997	0.0572380234	0.0570317822	0.056688597300000004	0.056209292599999995	0.055595019	0.0548472516	0.0539677858	0.0529587334	0.051822517400000004	0.050561866	0.0	0.000222616	0.181808	0.188222	-0.00131296	2.66111e-23	0.000122722
3589.2669917907715	3052.966794954505	3755.624590157738	1.156816	32.515278	0.0970263402	-0.0064291583	-0.0727374727	-0.0489182096	-0.0235453475	0.015482393300000001	-0.0203778961	-0.0009686233	-0.063445849	0.0475831117	-0.010894468000000001	0.0235589504	-0.0038849629	0.057222780099999995	0.0569708904	0.0565518953	0.0559670238	0.0552179913	0.0543069949	0.0532367068	0.0520102662	0.05063127059999999	0.0491037647	0.0	8.94258e-05	0.222633	0.211483	-0.00182123	-0.000147508	0.000123087
3585.602121543884	3052.3610569133907	3752.4713447934255	1.168376	32.840225	0.15714201379999998	0.0478255904	0.0362685329	-0.0038064776	0.0598167823	0.0432294622	0.0033157852	-0.0337557831	0.0442862578	-0.0192178169	0.047878110700000004	0.0062009047	-0.0767636642	0.0572060141	0.0569039344	0.056401649400000003	0.0557009262	0.0548042301	0.053714716100000004	0.052436217300000004	0.050973231900000006	0.0493309071	0.0475150212	0.0	-0.000142624	0.136364	0.179514	-0.00121905	-0.000101572	-2.23628e-06
3592.8457878875734	3052.042933620166	3753.763273668349	1.146022	32.211895	0.17646271639999997	-0.0318945677	0.0253349379	0.08461424890000001	-0.029546418999999997	0.049116414000000004	-0.0264255211	0.0391162919	0.0284251159	-0.07553836629999999	-0.060797890199999996	-0.0004989114	0.0025509846	0.057187725700000004	0.0568309213	0.056237895499999996	0.0554111131	0.054354010700000004	0.05307098230000001	0.0515673609	0.0498493963	0.047924229400000004	0.04579986230000001	0.0	-3.69716e-05	0.233677	0.205375	-0.00190245	-0.000339643	0.000139954
3581.326197467804	3051.2444963055327	3752.097260004828	1.144027	32.155823	0.13759056259999997	-0.008036690899999999	-0.0653940804	-0.0374790585	-0.029543764700000003	0.0547575905	-0.0043001865999999994	0.0045437737	-0.0684789207	0.0356896319	-0.0187543283	0.0078115753	-0.06991044469999999	0.0571679155	0.05675185889999999	0.0560606728	0.0550977079	0.053867632699999994	0.052376410400000004	0.05063127059999999	0.0486406734	0.0464142691	0.0439628513	0.0	0.000241141	0.125799	0.195024	-0.0017229	-0.000188537	0.000190967
3589.412083026886	3052.2594921406762	3754.570218182922	1.168873	32.854195	0.15498624800000002	0.057516995999999994	0.0331449101	-0.0078279677	0.0632377338	0.0119075185	-0.0670245776	-0.0489253184	0.0344665543	-0.0196106501	0.0412679467	0.0546379825	-0.012174138700000002	0.057146584	0.05666675559999999	0.0558700237	0.054760844	0.053345419500000005	0.0516316657	0.0496291667	0.0473491213	0.044804280300000006	0.042008875700000003	0.0	0.000150693	0.24393	0.218947	-0.00192259	-0.000164246	0.000158112
3589.001142517089	3049.8677004135457	3757.829341301067	1.159773	32.598408	0.124726947	-0.0393183566	0.0295008517	0.0929732033	-0.0248609848	0.0167319742	-0.0349891381	0.042770351	0.018016782	-0.0728752713	-0.060805951399999995	-0.012183785	-0.0280093239	0.057123731799999994	0.0565756205	0.055665994	0.0544006649	0.052787718600000005	0.05083746150000001	0.0485623559	0.04597693940000001	0.0430977328	0.039943134	0.0	0.00020104	0.128236	0.219343	-0.00206984	-0.000171956	0.000174884
3585.5262164916994	3051.5997774424327	3760.1430173796507	1.125262	31.628384	0.12797723800000002	0.0279352173	-0.0567159404	-0.0107220579	-0.0643846944	-0.024245949300000003	-0.0768535041	-0.0294541923	-0.053664064000000004	0.0204585111	-0.0657155913	0.0188186907	0.0276583083	0.0570993594	0.0564784632	0.0554486325	0.054017324000000005	0.0521949009	0.049994558700000004	0.047432229000000006	0.04452646440000001	0.041298304300000005	0.0377711223	0.0	0.000106452	0.226583	0.239133	-0.00222558	-0.000190741	0.000154496
3596.193418598175	3053.558060993346	3763.380747291214	1.1218070000000002	31.531275	0.1443581421	-0.0050067324	0.046926836799999996	-0.0647407674	-0.0098471599	-0.012363873000000001	-0.0349590161	-0.006431175999999999	0.0512473096	0.0549575447	-0.0010070919	0.0072961068	-0.0043193865	0.0570734675	0.0563752941	0.0552179913	0.0536109843	0.0515673609	0.0491037647	0.0462402595	0.043000166299999996	0.039409872900000004	0.0354986191	0.0	1.47599e-05	0.160114	0.198027	-0.00166009	-0.000354759	0.000158817
3594.1105694389344	3054.7119098232783	3764.6524603988487	1.127514	31.691677	0.09789614809999998	-0.052994683099999995	-0.045809246500000005	-0.0207795524	0.0383787881	-0.0207179739	-0.0722264368	0.049062580599999996	-0.0374874984	-0.002507276	0.0350759515	0.033406947299999996	0.0178908061	0.0570460569	0.056266124199999996	0.0549741255	0.053181819000000005	0.050905516	0.048165932800000005	0.0449880016	0.041400644199999996	0.0374365083	0.0331316707	0.0	0.000140508	0.167724	0.238967	-0.00242366	-0.000143609	0.000149129
3599.9706936950683	3055.417256961124	3767.2059512288374	1.082191	30.417778	0.016781882000000022	0.0651945829	0.019870118500000002	0.024898943	0.06788370769999999	-0.0477614952	-0.0269727427	-0.056035822199999995	0.0250758913	-0.0411164171	0.051588568099999996	0.0010938379	0.015409366200000002	0.0570171282	0.0561509651	0.054717093700000004	0.0527300107	0.0502098065	0.0471819614	0.0436770879	0.039730621800000004	0.0353824634	0.0306765744	0.0	0.000104326	0.167829	0.23052	-0.00251268	-0.000215983	0.000146649
3596.6730005187987	3054.230683153077	3764.444129692338	1.08776	30.574289	0.040456237000000006	-0.0446727728	0.026999484900000002	0.07499187980000001	-0.0217973115	-0.0404717452	-0.0207812884	0.047076821100000006	0.023746482599999997	-0.0748383775	-0.042707906600000005	-0.0095155693	0.0282541941	0.0569866822	0.056029829100000005	0.0544469572	0.0522557519	0.0494806953	0.046152793	0.0423092276	0.037992943	0.033252165	0.0281398619	0.0	0.000107113	0.180089	0.244448	-0.00226117	-0.000231483	0.000164948
